Indiv1	Indiv2	relationship type	generation depth	meioses events
1354927	9436804	half	0	2
1354927	12589476	half	0	2
1354927	24191428	direct	1	1
1354927	31066777	direct	2	2
1354927	43876405	direct	1	1
1354927	57866203	half	0	2
1354927	69904641	direct	2	2
1652327	1743267	full	-1	3
1652327	2824054	full	-2	4
1652327	3763287	direct	-1	1
1652327	6808020	full	-1	3
1652327	9119021	direct	-2	2
1652327	16016761	direct	-2	2
1652327	17669879	direct	-2	2
1652327	19162967	full	-1	3
1652327	26704258	direct	-2	2
1652327	29764558	full	-1	3
1652327	31484389	direct	-2	2
1652327	33643728	direct	-1	1
1652327	33710982	full	-1	3
1652327	34900121	full	-1	3
1652327	38267877	full	0	2
1652327	39880877	full	-1	3
1652327	40186358	direct	-2	2
1652327	43247606	direct	-1	1
1652327	43894541	full	-1	3
1652327	45017237	full	-1	3
1652327	45536399	full	-1	3
1652327	48389525	full	0	2
1652327	48828987	direct	1	1
1652327	50147320	full	0	2
1652327	58075271	direct	-2	2
1652327	58539330	full	0	2
1652327	66604406	full	-1	3
1652327	71177161	direct	-2	2
1652327	79744304	full	-1	3
1652327	82674919	full	0	2
1652327	83040108	direct	-1	1
1693541	2824054	full	-1	5
1693541	10462069	full	0	4
1693541	14590834	full	1	3
1693541	15580945	full	0	4
1693541	18602496	direct	2	2
1693541	18748396	full	1	3
1693541	18797828	full	-1	5
1693541	21286462	full	0	4
1693541	27585599	full	1	3
1693541	29990422	full	1	3
1693541	30448695	direct	1	1
1693541	30628674	full	-1	5
1693541	32568872	full	0	4
1693541	33239310	full	-1	5
1693541	36411110	full	-1	5
1693541	41269226	full	0	4
1693541	43085213	full	0	4
1693541	45641273	full	0	4
1693541	46118273	full	0	4
1693541	57318980	direct	1	1
1693541	58529856	full	0	4
1693541	58996915	full	1	3
1693541	65221687	direct	2	2
1693541	66351710	full	1	3
1693541	66942251	full	0	4
1693541	69494224	full	0	2
1693541	71725780	full	0	4
1693541	72330648	full	0	4
1693541	73701333	full	1	3
1693541	73809486	full	0	4
1693541	78224870	full	0	4
1693541	84211694	full	0	4
1743267	2824054	full	-1	3
1743267	3763287	full	0	4
1743267	3900178	direct	2	2
1743267	6525372	full	-1	5
1743267	6808020	full	0	4
1743267	6874369	full	-1	5
1743267	7189832	full	1	3
1743267	7959801	full	1	3
1743267	9119021	full	-1	5
1743267	16016761	full	-1	5
1743267	17601687	direct	1	1
1743267	17669879	full	-1	5
1743267	19162967	full	0	4
