48389525	34900121	{}	8
48389525	45536399	{}	8
48389525	79744304	{}	8
9692805	9119021	{}	7
55021634	43514383	{}	8
55021634	74584235	{}	8
58996915	15580945	{}	8
58996915	21286462	{}	8
58996915	72330648	{}	8
35708742	47586487	{}	8
35708742	59199947	{}	8
35708742	71690448	{}	8
35708742	83731901	{}	8
34819348	43514383	{}	8
34819348	74584235	{}	8
36766034	41078192	{}	8
36766034	75910951	{}	8
8583938	64296767	{}	8
8583938	68088294	{}	8
48828987	1652327	{}	7
48828987	38267877	{}	8
48828987	48389525	{}	8
48828987	50147320	{}	8
48828987	58539330	{}	8
48828987	82674919	{}	8
82477413	23563180	{}	8
82477413	49196332	{}	8
82477413	70223684	{}	8
4627815	33981752	{}	8
4627815	83616655	{}	8
22536877	73300761	{}	8
49492588	3763287	{}	7
49492588	33643728	{}	8
49492588	43247606	{}	8
49492588	83040108	{}	8
71910700	31483209	{}	8
71910700	54334916	{}	8
71910700	73747746	{}	8
71910700	79528888	{}	8
69904641	24191428	{}	8
48109147	7759908	{}	7
48109147	22022286	{}	8
48109147	65688493	{}	8
4846390	32568872	{}	8
4846390	71725780	{}	8
67125975	31483209	{}	8
67125975	79528888	{}	8
27523150	24149976	{}	8
27523150	55922087	{}	8
39373076	1034815	{}	7
39373076	7875529	{}	7
39373076	54062613	{}	8
39373076	77685942	{}	8
5941721	36874450	{}	8
5941721	83444182	{}	8
20439774	5985859	{}	7
20439774	33641591	{}	8
20439774	45721152	{}	8
65688493	8583938	{}	7
65688493	22536877	{}	8
65688493	24976974	{}	8
56939113	10545733	{}	8
56939113	68734247	{}	8
57639758	55774070	{}	8
57639758	78479581	{}	8
65221687	14590834	{}	8
65221687	18748396	{}	8
65221687	27585599	{}	8
65221687	29990422	{}	8
65221687	30448695	{}	8
65221687	58996915	{}	8
65221687	66351710	{}	8
65221687	73701333	{}	8
40207580	38423507	{}	8
40207580	44852058	{}	8
40207580	64703125	{}	8
45550932	13500873	{}	8
45550932	51583853	{}	8
36102155	17913335	{}	8
26034161	10365277	{}	8
26034161	31588511	{}	8
46118273	18797828	{}	8
46118273	30628674	{}	8
46118273	33239310	{}	8
30811971	33217231	{}	8
30811971	53489394	{}	8
40913632	7056463	{}	7
40913632	43333705	{}	8
8599292	7787507	{}	7
8599292	17185590	{}	8
8599292	31977120	{}	8
8599292	57047768	{}	8
8599292	63659993	{}	8
8599292	73022914	{}	8
8599292	84488216	{}	8
64189202	73300761	{}	8
69134744	41078192	{}	8
69134744	75910951	{}	8
76865564	12874452	{}	8
76865564	17120542	{}	8
76865564	39373076	{}	8
76865564	55109087	{}	8
76865564	60701275	{}	8
76865564	73971899	{}	8
76865564	78492405	{}	8
75252101	23563180	{}	8
75252101	49196332	{}	8
